particip_code,pred_trialN,pred_Cond,pred_Cont,pred_Cat,pred_Obj,pred_predictedValue,pred_acc,pred_rt,rec_trialN,rec_session,rec_trialType,rec_Cond,rec_Cat,rec_Obj,rec_response,rec_acc,rec_rt,rec_respConf,rec_rtConf,rec_respCont
20,289,4,4,FruitsAndVegs,broccoli,1,1,1.26990050729364,17,1,old,4,FruitsAndVegs,broccoli,1,1,2.45471007423475,6,3.69404343841597,4
20,290,3,5,HouseObjects,safetypin2,2,0,1.04034769302234,382,2,old,3,HouseObjects,safetypin2,0,0,1.80784066859633,3,1.30073064658791,4
20,291,1,2,Instruments,marimba,3,0,1.31488814810291,183,1,old,1,Instruments,marimba,1,1,1.1912763719447,6,9.17278230190277e-05,6
20,292,4,6,HouseObjects,scale2,3,1,0.900976707693189,365,2,old,4,HouseObjects,scale2,1,1,1.14403338357806,6,1.10211541457102,3
20,293,2,4,FruitsAndVegs,cauliflower,1,1,0.903422887437046,341,2,old,2,FruitsAndVegs,cauliflower,1,1,0.869337055366486,3,0.000100708100944757,3
20,294,4,6,HouseObjects,doormat,3,1,0.714027896057814,3,1,old,4,HouseObjects,doormat,1,1,2.5589541499503,6,2.29408359341323,6
20,295,4,6,HouseObjects,recyclingbin,3,1,0.620213841088116,259,2,old,4,HouseObjects,recyclingbin,1,1,0.77686556102708,5,0.000104556791484356,5
20,296,4,6,HouseObjects,recyclingbin,3,1,0.574635743163526,259,2,old,4,HouseObjects,recyclingbin,1,1,0.77686556102708,5,0.000104556791484356,5
20,297,3,5,FruitsAndVegs,kiwi,2,0,0.673223809339106,168,1,old,3,FruitsAndVegs,kiwi,1,1,1.18258372647688,6,9.6859410405159e-05,6
20,298,2,5,Instruments,timbal,2,1,0.516546752303839,219,2,old,2,Instruments,timbal,0,0,3.01712421979755,5,9.33310948312283e-05,5
20,299,4,5,Instruments,trombone,2,1,0.542546431999654,302,2,old,4,Instruments,trombone,1,1,1.23336977837607,6,6.54282048344612e-05,6
20,300,3,6,Instruments,violin,3,0,0.697156729176641,174,1,old,3,Instruments,violin,1,1,0.8391252765432,6,9.6859410405159e-05,6
20,301,3,4,Instruments,panflute,1,0,0.763361379038543,245,2,old,3,Instruments,panflute,1,1,0.898511605337262,5,9.6538569778204e-05,5
20,302,2,5,Instruments,speaker2,2,1,1.34190324740484,15,1,old,2,Instruments,speaker2,1,1,4.14109071949497,5,9.75010916590691e-05,5
20,303,2,5,Instruments,oboe2,2,1,0.880869091488421,276,2,old,2,Instruments,oboe2,1,1,0.877789477352053,6,0.00010199099779129,6
20,304,1,3,HouseObjects,iron2,2,0,1.34749992191792,66,1,old,1,HouseObjects,iron2,0,0,1.14971889974549,1,3.47991307033226,2
20,305,1,2,FruitsAndVegs,peppergreen2,3,0,1.87784464191645,290,2,old,1,FruitsAndVegs,peppergreen2,1,1,0.869394465349615,6,3.40150991547853,6
20,306,4,4,FruitsAndVegs,greenolive2,0,0,NaN,229,2,old,4,FruitsAndVegs,greenolive2,1,1,0.918304268736392,5,9.46144573390484e-05,5
20,307,1,3,FruitsAndVegs,mango,3,0,1.71447434742004,100,1,old,1,FruitsAndVegs,mango,0,0,0.861558800563216,3,1.82991594076157,2
20,308,4,6,HouseObjects,garbagebin,3,1,0.765088490210474,164,1,old,4,HouseObjects,garbagebin,1,1,0.644831511192024,6,2.01566234976053,6
20,309,1,3,HouseObjects,cushion2,2,0,1.70329414820299,284,2,old,1,HouseObjects,cushion2,0,0,1.02449707686901,6,0.000101670157164335,6
20,310,2,6,HouseObjects,dustpan2,3,1,0.809857395477593,359,2,old,2,HouseObjects,dustpan2,1,1,0.968302937224507,6,9.75006259977818e-05,6
20,311,2,4,FruitsAndVegs,orange2,1,1,0.77233177376911,114,1,old,2,FruitsAndVegs,orange2,0,0,1.33139080088586,6,2.05292882444337,4
20,312,4,4,FruitsAndVegs,pear,1,1,0.935440676286817,333,2,old,4,FruitsAndVegs,pear,1,1,2.69550498854369,5,1.62950945226476,1
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,1,new,5,HouseObjects,cushion3,0,0,4.18391506141052,NaN,0.374783790204674,3
