"scene_cat","object_cat","response","acc","pe_level","trialN","Q1","befQ1","P1","variance1","Q2","befQ2","P2","variance2","Q3","befQ3","P3","variance3","Prob","Delta","x1","x2","x3","Delta1","Delta2","Delta3","SubNum"
4,1,3,0,1,52,0.919391035571263,0.770741268069576,0.574743500947538,0.0174858223062382,1.88702681021141e-05,5.36686430217374e-05,0.175515605640505,0.0174858223062382,0.0805900897469189,0.22920505073442,0.249740893411957,0.0174858223062382,0.249740893411957,NA,1,0,0,0.229258731930424,-5.36686430217374e-05,-0.22920505073442,28
6,2,3,0,3,53,0.0801658138821142,0.227998374188664,0.249306309689704,0.0174858223062382,0.64882386226896,0.00122527821805903,0.175852718922512,0.0174858223062382,0.271010322297033,0.770776343179561,0.574840971387784,0.0174858223062382,0.574840971387784,NA,0,1,0,-0.227998374188664,0.998774721781941,-0.770776343179561,28
5,2,2,1,1,54,1.18630340934607e-07,3.37394751612094e-07,0.150143985230329,0.0174858223062382,0.999981138201865,0.999946355446283,0.699699788479982,0.0174858223062382,1.87426221376444e-05,5.33056070721038e-05,0.150156226289688,0.0174858223062382,0.699699788479982,NA,0,1,0,-3.37394751612094e-07,5.3644553716925e-05,-5.33056070721038e-05,28
4,1,3,0,1,55,0.971657327546218,0.919391035571263,0.658803951877825,0.0174858223062382,6.63491748992871e-06,1.88702681021141e-05,0.160033597859813,0.0174858223062382,0.0283360359843987,0.0805900897469189,0.181162450262363,0.0174858223062382,0.181162450262363,NA,1,0,0,0.0806089644287371,-1.88702681021141e-05,-0.0805900897469189,28
5,2,3,0,1,56,4.17112528366805e-08,1.18630340934607e-07,0.150139517337802,0.0174858223062382,0.999993368060609,0.999981138201865,0.699716661524631,0.0174858223062382,6.59003628116177e-06,1.87426221376444e-05,0.150143821137567,0.0174858223062382,0.150143821137567,NA,0,1,0,-1.18630340934607e-07,1.88617981350392e-05,-1.87426221376444e-05,28
4,1,1,1,1,57,0.990034519268232,0.971657327546218,0.685749057416509,0.0174858223062382,2.33288312916073e-06,6.63491748992871e-06,0.153700450304973,0.0174858223062382,0.00996314730298256,0.0283360359843987,0.160550492278518,0.0174858223062382,0.685749057416509,NA,1,0,0,0.0283426724537819,-6.63491748992871e-06,-0.0283360359843987,28
5,2,2,1,1,58,1.46659665604817e-08,4.17112528366805e-08,0.15013794637149,0.0174858223062382,0.999997668163991,0.999993368060609,0.699722594040991,0.0174858223062382,2.31710258405106e-06,6.59003628116177e-06,0.15013945958752,0.0174858223062382,0.699722594040991,NA,0,1,0,-4.17112528366805e-08,6.63193939065554e-06,-6.59003628116177e-06,28
3,2,1,0,2,59,0.233023140242871,0.662737575418855,0.515302601007245,0.0666666666666667,0.681621207005884,0.0945037084566635,0.214897890626437,0.0666666666666667,0.0852028152869332,0.242324033412601,0.269799508366318,0.0666666666666667,0.515302601007245,NA,0,1,0,-0.662737575418855,0.905496291543336,-0.242324033412601,28
6,3,3,1,1,60,0.0281868576398879,0.0801658138821142,0.21093079881795,0.0174858223062382,0.228130981942388,0.64882386226896,0.506120256116583,0.0174858223062382,0.743682159872068,0.271010322297033,0.282948945065468,0.0174858223062382,0.282948945065468,NA,0,0,1,-0.0801658138821142,-0.64882386226896,0.728989677702967,28
1,1,3,0,2,61,0.653436682249125,0.0143445294920393,0.1821722757809,0.0666666666666667,0.0852028152869332,0.242324033412601,0.258745543026895,0.0666666666666667,0.26120766499963,0.74289675438348,0.559082181192205,0.0666666666666667,0.559082181192205,NA,1,0,0,0.985655470507961,-0.242324033412601,-0.74289675438348,28
4,2,2,1,3,62,0.348103021747212,0.990034519268232,0.694863405246611,0.0174858223062382,0.648393866184747,2.33288312916073e-06,0.151398801506719,0.0174858223062382,0.00350311187618416,0.00996314730298256,0.15373779324667,0.0174858223062382,0.151398801506719,NA,0,1,0,-0.990034519268232,0.999997667116871,-0.00996314730298256,28
6,3,3,1,1,63,0.00991069515965545,0.0281868576398879,0.186279918755,0.0174858223062382,0.0802124396904876,0.228130981942388,0.25340586819753,0.0174858223062382,0.909876864958,0.743682159872068,0.56031421304747,0.0174858223062382,0.56031421304747,NA,0,0,1,-0.0281868576398879,-0.228130981942388,0.256317840127932,28
4,1,2,0,1,64,0.770788489107024,0.348103021747212,0.314869074627254,0.0174858223062382,0.227979792328955,0.648393866184747,0.499869209170368,0.0174858223062382,0.00123171849656271,0.00350311187618416,0.185261716202378,0.0174858223062382,0.499869209170368,NA,1,0,0,0.651896978252788,-0.648393866184747,-0.00350311187618416,28
