"scene_cat","object_cat","response","acc","pe_level","trialN","Q1","P1","Q2","P2","Q3","P3","Prob","Delta","x1","x2","x3","Delta1","Delta2","Delta3","SubNum"
6,3,2,0,1,39,0.08864776818093,0.19362231832613,0.08864776818093,0.19362231832613,0.311439459673869,0.612755363347741,0.19362231832613,NA,0,0,0,-0.0989095707959183,-0.0989095707959183,-0.347491470088491,30
6,1,3,0,3,40,0.0794506208066995,0.207979551607152,0.0794506208066995,0.207979551607152,0.279127821518184,0.584040896785697,0.584040896785697,NA,0,0,0,-0.08864776818093,-0.08864776818093,-0.311439459673869,30
1,3,1,0,2,41,0.237575912739444,0.282589121855982,0.237575912739444,0.282589121855982,0.320914151343591,0.434821756288036,0.282589121855982,NA,0,0,0,-0.265077531478812,-0.265077531478812,-0.358062945329279,30
5,2,2,1,1,42,0.119744139741501,0.23385899348497,0.394770538113169,0.567018760822399,0.08864776818093,0.199122245692631,0.567018760822399,NA,0,1,0,-0.133605636218444,0.675290394069378,-0.0989095707959183,30
5,2,2,1,1,43,0.107320764364974,0.18371862908029,0.457562694874955,0.657220204323598,0.0794506208066995,0.159061166596112,0.657220204323598,NA,0,1,0,-0.119744139741501,0.605229461886831,-0.08864776818093,30
4,1,1,1,1,44,0.27507758805427,0.335716008281154,0.123134383289902,0.26166236894603,0.206472621894049,0.402621622772816,0.335716008281154,NA,1,0,0,0.808838914923959,-0.137388331949504,-0.230373745799971,30
4,1,1,1,1,45,0.350287809296837,0.450014396449486,0.110359272385352,0.222537726349519,0.185051223800556,0.327447877200995,0.450014396449486,NA,1,0,0,0.72492241194573,-0.123134383289902,-0.206472621894049,30
4,1,1,1,1,46,0.417695019781089,0.557450240110268,0.0989095707959183,0.183354428549774,0.165852281604947,0.259195331339958,0.557450240110268,NA,1,0,0,0.649712190703163,-0.110359272385352,-0.185051223800556,30
5,2,3,0,1,47,0.0961863059749422,0.143923795015939,0.410090867618955,0.729591753948193,0.0712076713954755,0.126484451035868,0.126484451035868,NA,0,0,0,-0.107320764364974,-0.457562694874955,-0.0794506208066995,30
4,3,1,0,3,48,0.374359437473274,0.649572660204448,0.08864776818093,0.148249850707418,0.148645216976317,0.202177489088134,0.649572660204448,NA,0,0,0,-0.417695019781089,-0.0989095707959183,-0.165852281604947,30
6,3,3,1,1,49,0.0712076713954755,0.221097358011722,0.0712076713954755,0.221097358011722,0.353917833715085,0.557805283976555,0.557805283976555,NA,0,0,1,-0.0794506208066995,-0.0794506208066995,0.720872178481816,30
4,1,3,0,1,50,0.33551989319565,0.618296609405575,0.0794506208066995,0.164487326119326,0.133223373933237,0.217216064475098,0.217216064475098,NA,0,0,0,-0.374359437473274,-0.08864776818093,-0.148645216976317,30
5,2,2,1,1,51,0.0862070402857167,0.161961907174922,0.471293550317515,0.693780962917068,0.063819922539088,0.14425712990801,0.693780962917068,NA,0,1,0,-0.0961863059749422,0.589909132381045,-0.0712076713954755,30
4,1,1,1,1,52,0.404459265217412,0.589345641926438,0.0712076713954755,0.1798739228733,0.119401536915802,0.230780435200262,0.589345641926438,NA,1,0,0,0.66448010680435,-0.0794506208066995,-0.133223373933237,30
6,2,1,0,3,53,0.063819922539088,0.175223259634662,0.063819922539088,0.175223259634662,0.317199092320463,0.649553480730675,0.175223259634662,NA,0,0,0,-0.0712076713954755,-0.0712076713954755,-0.353917833715085,30
5,2,3,0,1,54,0.0772631168178891,0.12723984085809,0.422397155882094,0.758060115746425,0.0571986477450517,0.114700043395485,0.114700043395485,NA,0,0,0,-0.0862070402857167,-0.471293550317515,-0.063819922539088,30
4,1,1,1,1,55,0.466246222944017,0.675553443944292,0.063819922539088,0.144181518245743,0.107013706356064,0.180265037809966,0.675553443944292,NA,1,0,0,0.595540734782588,-0.0712076713954755,-0.119401536915802,30
