"","PE_level","trialN","id_acc","trial_acc","session","SubNum","PEchoice","PEobs"
"2348","0.5",164,0,0,"ImmediateRec",9,-0.344363743708476,0.660308016814455
"2349","0.5",165,1,1,"ImmediateRec",9,0.819743956905264,0.668993168613345
"2350","0.5",166,1,0,"DelayedRec",9,-0.332986933812998,0.692088005368661
"2353","0.9",169,1,0,"ImmediateRec",9,-0.58532222602562,0.777925058413348
"2355","0.5",171,1,0,"DelayedRec",9,-0.266155375844306,0.662834349430127
"2357","0.5",173,1,0,"ImmediateRec",9,-0.210530582831537,0.686314142728549
"2360","0.9",176,0,1,"DelayedRec",9,0.960250692478542,0.78115519140372
"2361","0.5",177,1,0,"ImmediateRec",9,-0.321985981729973,0.657159930267571
"2363","0.1",179,1,1,"ImmediateRec",9,0.349364271110342,0.432457061789801
"2364","0.9",180,1,1,"DelayedRec",9,0.957692431805791,0.795976120734612
"2365","0.5",181,1,0,"ImmediateRec",9,-0.311348470174018,0.688305868242601
"2366","0.5",182,0,0,"DelayedRec",9,-0.242144390880819,0.675483348764448
"2367","0.5",183,0,1,"DelayedRec",9,0.806135355324635,0.66902373863368
"2369","0.9",185,0,0,"DelayedRec",9,-0.515067532545385,0.773323418906006
"2370","0.1",186,1,1,"ImmediateRec",9,0.455240794553133,0.445002858469262
"2371","0.9",187,1,0,"ImmediateRec",9,-0.498051149409354,0.765570166862526
"2372","0.9",188,1,0,"ImmediateRec",9,-0.640301251297878,0.783240288503433
"2376","0.9",192,1,0,"ImmediateRec",9,-0.590678146719654,0.782075918674221
"2377","0.5",193,1,0,"DelayedRec",9,-0.234144621007718,0.668711030060388
"2378","0.5",194,0,0,"DelayedRec",9,-0.220497090323637,0.682647201394482
"2379","0.1",195,1,0,"DelayedRec",9,-0.0668287474035565,0.456704110932068
"2380","0.1",196,0,1,"DelayedRec",9,0.440200918634367,0.440541310768221
"2381","0.5",197,1,1,"ImmediateRec",9,0.698937607908046,0.672293486356208
"2382","0.1",198,1,1,"ImmediateRec",9,0.534313669124033,0.452125247813763
"2383","0.9",199,1,0,"ImmediateRec",9,-0.483338552253038,0.762724953068325
"2387","0.1",203,1,1,"ImmediateRec",9,0.512454996272209,0.439637746926451
"2388","0.5",204,0,0,"ImmediateRec",9,-0.213212486398429,0.675803058724297
"2389","0.9",205,1,0,"ImmediateRec",9,-0.504475076010638,0.804808798197153
"2393","0.1",209,1,1,"ImmediateRec",9,0.495269999590299,0.436471972875255
"2394","0.1",210,1,1,"ImmediateRec",9,0.428836198525504,0.432193447420288
"2395","0.9",211,0,0,"DelayedRec",9,-0.602002576955274,0.791886351207767
"2400","0.5",216,1,0,"ImmediateRec",9,-0.225000820505699,0.66977091953591
"2401","0.5",217,1,0,"DelayedRec",9,-0.324153325557647,0.684599189489699
"2404","0.5",220,1,0,"DelayedRec",9,-0.177977069703633,0.672371431097944
"2408","0.1",224,1,1,"ImmediateRec",9,0.377821813961017,0.420265485566575
"2409","0.1",225,1,1,"DelayedRec",9,0.387722275662062,0.419323975979134
"2410","0.1",226,1,1,"ImmediateRec",9,0.374913021775615,0.41511988181341
"2412","0.1",228,0,1,"DelayedRec",9,0.418688354222316,0.415026240639801
"2414","0.5",230,1,1,"DelayedRec",9,0.797211115652907,0.664148402508541
"2416","0.1",232,1,1,"DelayedRec",9,0.350550078471577,0.406837720193292
"2417","0.9",233,0,0,"DelayedRec",9,-0.66103111053127,0.812141597883254
"2418","0.1",234,1,1,"DelayedRec",9,0.365339643493508,0.416051951933541
"2419","0.1",235,1,1,"ImmediateRec",9,0.353269848843971,0.411880662706214
"2420","0.5",236,1,0,"ImmediateRec",9,-0.313444211055227,0.677735476410397
"2423","0.5",239,1,1,"ImmediateRec",9,0.827902792287548,0.666434036226529
"2425","0.9",241,0,0,"DelayedRec",9,-0.680599281992676,0.804353583209822
"2426","0.5",242,1,0,"ImmediateRec",9,-0.303088895586732,0.670940578132453
"2429","0.9",245,1,0,"DelayedRec",9,-0.669409141015009,0.798331607182298
"2430","0.1",246,1,1,"DelayedRec",9,0.41049307086605,0.402667958988092
"2431","0.9",247,0,0,"DelayedRec",9,-0.662638826383018,0.807909621506065
"2434","0.1",250,0,1,"DelayedRec",9,0.329786372198887,0.399436878959813
"2438","0.1",254,1,1,"DelayedRec",9,0.383818032040122,0.394634228825581
"2440","0.5",256,1,0,"DelayedRec",9,-0.229126498207577,0.685046352019704
"2441","0.5",257,1,0,"ImmediateRec",9,-0.186402495476775,0.678882937858608
"2443","0.9",259,0,0,"DelayedRec",9,-0.652615808274705,0.799948023833324
"2447","0.9",263,1,0,"DelayedRec",9,-0.697380535031089,0.821592436165047
"2449","0.5",265,1,0,"DelayedRec",9,-0.221556802907915,0.678178155740081
"2451","0.9",267,0,0,"DelayedRec",9,-0.674341042875458,0.808505738768642
"2454","0.1",270,1,1,"ImmediateRec",9,0.347020147399894,0.382883162334669
