"","X","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"288",583,24,"stim/61.jpeg",6,"Household items",5,15,63,2.908000231,2,10,1
"289",241,25,"stim/11.jpeg",1,"Household items",45,55,67,11.1400001,1,50,1
"290",244,25,"stim/21.jpeg",2,"Music items",45,55,50,5.258999825,1,50,1
"291",242,25,"stim/31.jpeg",3,"Household items",65,75,10,8.730000019,1,70,1
"292",246,25,"stim/41.jpeg",4,"Household items",65,75,84,5.782000065,1,70,1
"293",245,25,"stim/51.jpeg",5,"Music items",5,15,95,3.963000059,1,10,1
"294",243,25,"stim/61.jpeg",6,"Household items",5,15,91,8.828999996,1,10,1
"295",583,25,"stim/11.jpeg",1,"Household items",45,55,50,4.210000038,2,50,1
"296",581,25,"stim/21.jpeg",2,"Music items",45,55,40,5.753999949,2,50,1
"297",580,25,"stim/31.jpeg",3,"Household items",65,75,28,9.797999859,2,70,1
"298",582,25,"stim/41.jpeg",4,"Household items",65,75,73,7.290999889,2,70,1
"299",579,25,"stim/51.jpeg",5,"Music items",5,15,90,3.151000023,2,10,1
"300",578,25,"stim/61.jpeg",6,"Household items",5,15,94,6.450999975,2,10,1
"301",242,26,"stim/11.jpeg",1,"Music items",45,55,10,4.011999846,1,50,1
"302",241,26,"stim/21.jpeg",2,"Household items",45,55,5,7.322999954,1,50,1
"303",245,26,"stim/31.jpeg",3,"Music items",65,75,41,2.900000095,1,70,1
"304",246,26,"stim/41.jpeg",4,"Music items",65,75,50,2.726000071,1,70,1
"305",243,26,"stim/51.jpeg",5,"Household items",5,15,71,5.184999943,1,10,1
"306",244,26,"stim/61.jpeg",6,"Music items",5,15,76,5.965999842,1,10,1
"307",583,26,"stim/11.jpeg",1,"Music items",45,55,1,2.713000059,2,50,1
"308",580,26,"stim/21.jpeg",2,"Household items",45,55,8,2.539000034,2,50,1
"309",578,26,"stim/31.jpeg",3,"Music items",65,75,40,7.095999956,2,70,1
"310",581,26,"stim/41.jpeg",4,"Music items",65,75,52,5.049999952,2,70,1
"311",579,26,"stim/51.jpeg",5,"Household items",5,15,50,2.420000076,2,10,1
"312",582,26,"stim/61.jpeg",6,"Music items",5,15,45,1.845000029,2,10,1
"313",241,27,"stim/11.jpeg",1,"Household items",45,55,20,9.930999994,1,50,1
"314",244,27,"stim/21.jpeg",2,"Music items",45,55,30,6.210000038,1,50,1
"315",242,27,"stim/31.jpeg",3,"Household items",65,75,0,5.690000057,1,70,1
"316",245,27,"stim/41.jpeg",4,"Household items",65,75,100,4.186000109,1,70,1
"317",246,27,"stim/51.jpeg",5,"Music items",5,15,50,17.94799995,1,10,1
"318",243,27,"stim/61.jpeg",6,"Household items",5,15,50,4.796000004,1,10,1
