"","X","participant","iteration_index","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","rating_acc","corr_rat","group"
"187",993,8,4,"stim/11.jpeg",1,"Music items",45,55,50,3.710999966,1,50,1
"188",996,8,4,"stim/21.jpeg",2,"Household items",45,55,50,2.879999876,2,50,1
"189",992,8,4,"stim/31.jpeg",3,"Music items",65,75,80,7.076999903,0,70,1
"190",997,8,4,"stim/41.jpeg",4,"Music items",65,75,80,5.552999973,2,70,1
"191",994,8,4,"stim/51.jpeg",5,"Household items",5,15,80,3.129000187,1,10,1
"192",995,8,4,"stim/61.jpeg",6,"Music items",5,15,100,6.322000027,1,10,1
"193",253,9,1,"stim/11.jpeg",1,"Household items",45,55,10,9.075000048,1,50,1
"194",256,9,1,"stim/21.jpeg",2,"Music items",45,55,9,14.97000003,1,50,1
"195",254,9,1,"stim/31.jpeg",3,"Household items",65,75,84,6.823999882,1,70,1
"196",252,9,1,"stim/41.jpeg",4,"Household items",65,75,75,6.074999809,1,70,1
"197",255,9,1,"stim/51.jpeg",5,"Music items",5,15,1,2.977999926,1,10,1
"198",251,9,1,"stim/61.jpeg",6,"Household items",5,15,20,14.30900002,0,10,1
"199",503,9,2,"stim/11.jpeg",1,"Household items",45,55,10,5.654999971,0,50,1
"200",499,9,2,"stim/21.jpeg",2,"Music items",45,55,40,10.41400003,0,50,1
"201",498,9,2,"stim/31.jpeg",3,"Household items",65,75,60,11.00699997,0,70,1
"202",502,9,2,"stim/41.jpeg",4,"Household items",65,75,40,6.707000017,0,70,1
"203",500,9,2,"stim/51.jpeg",5,"Music items",5,15,90,6.871999979,0,10,1
"204",501,9,2,"stim/61.jpeg",6,"Household items",5,15,80,10.43599987,0,10,1
"205",748,9,3,"stim/11.jpeg",1,"Household items",45,55,20,5.514999866,0,50,1
"206",747,9,3,"stim/21.jpeg",2,"Music items",45,55,30,6.496000051,0,50,1
"207",746,9,3,"stim/31.jpeg",3,"Household items",65,75,80,12.41299987,0,70,1
"208",745,9,3,"stim/41.jpeg",4,"Household items",65,75,40,13.39100003,0,70,1
"209",749,9,3,"stim/51.jpeg",5,"Music items",5,15,90,8.008999825,0,10,1
"210",750,9,3,"stim/61.jpeg",6,"Household items",5,15,90,4.90199995,0,10,1
"211",996,9,4,"stim/11.jpeg",1,"Household items",45,55,20,5.073999882,0,50,1
"212",992,9,4,"stim/21.jpeg",2,"Music items",45,55,10,13.62000012,0,50,1
"213",994,9,4,"stim/31.jpeg",3,"Household items",65,75,60,7.963999987,0,70,1
"214",997,9,4,"stim/41.jpeg",4,"Household items",65,75,20,3.353000164,0,70,1
"215",995,9,4,"stim/51.jpeg",5,"Music items",5,15,81,5.336999893,0,10,1
"216",993,9,4,"stim/61.jpeg",6,"Household items",5,15,90,4.953000069,0,10,1
"217",252,10,1,"stim/11.jpeg",1,"Household items",45,55,38,9.167000055,0,50,1
"218",255,10,1,"stim/21.jpeg",2,"Music items",45,55,70,4.77699995,0,50,1
"219",251,10,1,"stim/31.jpeg",3,"Household items",65,75,14,12.37700009,0,70,1
"220",253,10,1,"stim/41.jpeg",4,"Household items",65,75,87,7.928999901,0,70,1
"221",256,10,1,"stim/51.jpeg",5,"Music items",5,15,90,20.2809999,0,10,1
"222",254,10,1,"stim/61.jpeg",6,"Household items",5,15,89,6.963999987,0,10,1
"223",499,10,2,"stim/11.jpeg",1,"Household items",45,55,10,13.13300014,0,50,1
"224",500,10,2,"stim/21.jpeg",2,"Music items",45,55,7,13.61699986,0,50,1
"225",502,10,2,"stim/31.jpeg",3,"Household items",65,75,5,5.812999964,0,70,1
"226",498,10,2,"stim/41.jpeg",4,"Household items",65,75,81,10.96099997,0,70,1
"227",501,10,2,"stim/51.jpeg",5,"Music items",5,15,97,7.678999901,0,10,1
"228",503,10,2,"stim/61.jpeg",6,"Household items",5,15,93,7.703999996,0,10,1
"229",747,10,3,"stim/11.jpeg",1,"Household items",45,55,31,8.399999857,1,50,1
"230",750,10,3,"stim/21.jpeg",2,"Music items",45,55,34,6.401000023,1,50,1
"231",748,10,3,"stim/31.jpeg",3,"Household items",65,75,29,9.282999992,1,70,1
"232",745,10,3,"stim/41.jpeg",4,"Household items",65,75,66,5.479000092,1,70,1
"233",746,10,3,"stim/51.jpeg",5,"Music items",5,15,87,5.666000128,1,10,1
"234",749,10,3,"stim/61.jpeg",6,"Household items",5,15,85,8.484999895,1,10,1
"235",997,10,4,"stim/11.jpeg",1,"Household items",45,55,50,4.369999886,2,50,1
"236",994,10,4,"stim/21.jpeg",2,"Music items",45,55,30,13.53799987,1,50,1
"237",995,10,4,"stim/31.jpeg",3,"Household items",65,75,13,6.318000078,1,70,1
"238",993,10,4,"stim/41.jpeg",4,"Household items",65,75,75,8.302000046,1,70,1
"239",992,10,4,"stim/51.jpeg",5,"Music items",5,15,90,10.08100009,0,10,1
"240",996,10,4,"stim/61.jpeg",6,"Household items",5,15,95,4.019000053,1,10,1
"241",251,11,1,"stim/11.jpeg",1,"Music items",45,55,0,6.721999884,0,50,1
"242",255,11,1,"stim/21.jpeg",2,"Household items",45,55,0,7.986000061,0,50,1
"243",253,11,1,"stim/31.jpeg",3,"Music items",65,75,100,7.915999889,0,70,1
"244",252,11,1,"stim/41.jpeg",4,"Music items",65,75,9,4.930999994,0,70,1
"245",256,11,1,"stim/51.jpeg",5,"Household items",5,15,80,7.650000095,0,10,1
"246",254,11,1,"stim/61.jpeg",6,"Music items",5,15,50,4.911999941,0,10,1
"247",503,11,2,"stim/11.jpeg",1,"Music items",45,55,0,4.851000071,0,50,1
"248",498,11,2,"stim/21.jpeg",2,"Household items",45,55,0,9.441999912,0,50,1
"249",501,11,2,"stim/31.jpeg",3,"Music items",65,75,80,5.371000051,0,70,1
"250",499,11,2,"stim/41.jpeg",4,"Music items",65,75,20,8.32799983,0,70,1
"251",500,11,2,"stim/51.jpeg",5,"Household items",5,15,91,5.765999794,0,10,1
"252",502,11,2,"stim/61.jpeg",6,"Music items",5,15,80,3.253999949,0,10,1
"253",750,11,3,"stim/11.jpeg",1,"Music items",45,55,0,4.813000202,0,50,1
"254",747,11,3,"stim/21.jpeg",2,"Household items",45,55,0,7.781000137,0,50,1
"255",745,11,3,"stim/31.jpeg",3,"Music items",65,75,80,6.609999895,0,70,1
"256",749,11,3,"stim/41.jpeg",4,"Music items",65,75,50,3.565999985,0,70,1
"257",748,11,3,"stim/51.jpeg",5,"Household items",5,15,89,7.459000111,0,10,1
"258",746,11,3,"stim/61.jpeg",6,"Music items",5,15,90,6.11500001,0,10,1
"259",994,11,4,"stim/11.jpeg",1,"Music items",45,55,2,5.084000111,0,50,1
"260",997,11,4,"stim/21.jpeg",2,"Household items",45,55,10,4.31099987,0,50,1
"261",996,11,4,"stim/31.jpeg",3,"Music items",65,75,50,4.279000044,0,70,1
"262",993,11,4,"stim/41.jpeg",4,"Music items",65,75,50,6.985999823,0,70,1
"263",995,11,4,"stim/51.jpeg",5,"Household items",5,15,100,4.440000057,0,10,1
